,surgery_id,discruption count
0,12291,2
1,8196,1
2,24582,2
3,4102,1
4,20488,5
5,4106,3
6,8206,2
7,4112,2
8,2067,1
9,2068,1
10,18453,2
11,4118,1
12,2039,1
13,2073,1
14,2041,1
15,2078,1
16,18463,3
17,10272,1
18,16416,4
19,12325,7
20,16422,1
21,4137,1
22,2090,1
23,2089,1
24,14380,6
25,16426,3
26,14382,1
27,16434,2
28,20532,1
29,20535,3
30,4156,2
31,20545,2
32,4162,3
33,4163,3
34,16452,1
35,4165,2
36,10310,1
37,10308,1
38,12357,1
39,16460,4
40,10317,2
41,14414,2
42,14415,1
43,12368,4
44,20561,5
45,10325,4
46,6235,5
47,6236,1
48,20573,1
49,20579,2
50,22630,2
51,18537,4
52,10346,3
53,10347,4
54,10348,4
55,6256,1
56,8309,2
57,14455,1
58,6266,3
59,4219,1
60,4220,3
61,6270,1
62,4223,1
63,4224,1
64,6273,2
65,14465,2
66,10371,2
67,2188,1
68,4241,1
69,4242,1
70,2197,1
71,12440,4
72,4249,3
73,6298,4
74,12443,6
75,6300,4
76,6301,2
77,18587,3
78,6299,1
79,6137,1
80,4253,1
81,6302,1
82,4266,2
83,6317,2
84,2222,1
85,14509,1
86,6320,1
87,6324,2
88,6326,2
89,14521,6
90,2233,1
91,14523,2
92,2237,3
93,6335,3
94,2244,1
95,2245,2
96,14533,1
97,18630,3
98,12489,2
99,2250,1
100,8397,2
101,8400,2
102,18644,4
103,18648,1
104,8410,4
105,2267,1
106,2266,1
107,2269,3
108,20702,5
109,20703,3
110,2270,1
111,8417,3
112,14559,1
113,18659,1
114,20708,1
115,14568,4
116,14574,1
117,2288,2
118,20720,4
119,2296,1
120,18682,1
121,18684,1
122,2301,1
123,2307,1
124,10503,4
125,2312,1
126,2314,1
127,4369,3
128,20754,2
129,20755,1
130,20756,5
131,4372,1
132,18722,1
133,4387,2
134,18724,1
135,10533,5
136,18727,2
137,20788,2
138,10551,1
139,8516,1
140,4426,1
141,4427,4
142,4428,1
143,4430,1
144,12627,2
145,10580,3
146,4435,1
147,8535,1
148,6488,1
149,6491,1
150,18787,1
151,18788,7
152,6501,1
153,6502,1
154,10599,3
155,4456,1
156,14697,5
157,4457,1
158,20838,2
159,6508,1
160,10606,5
161,4464,2
162,8561,2
163,6514,2
164,4467,5
165,12660,5
166,4465,2
167,6515,1
168,2418,1
169,6520,5
170,10616,6
171,18808,1
172,14720,2
173,2433,1
174,2434,1
175,22915,2
176,8579,2
177,8585,1
178,8586,3
179,20875,3
180,14740,2
181,4508,1
182,6563,1
183,8612,1
184,12708,2
185,4518,1
186,6589,6
187,14784,1
188,6592,2
189,14786,1
190,12739,5
191,14788,4
192,14789,1
193,18882,1
194,6599,1
195,20931,1
196,4553,1
197,4554,2
198,14795,4
199,6604,1
200,8662,4
201,6618,3
202,4571,2
203,16377,3
204,14816,2
205,14818,5
206,18917,2
207,6634,3
208,10730,2
209,18923,4
210,10734,6
211,25070,1
212,2547,1
213,8692,4
214,18931,2
215,2550,1
216,18935,4
217,10746,1
218,14842,2
219,18940,3
220,10747,1
221,20992,2
222,18944,1
223,18957,2
224,2579,1
225,18964,1
226,18975,1
227,8736,3
228,10785,4
229,6689,3
230,18977,6
231,10788,2
232,10789,2
233,4645,1
234,4647,1
235,4648,1
236,8746,1
237,4651,1
238,12845,3
239,2608,4
240,2609,2
241,12851,1
242,6711,1
243,10810,5
244,2623,1
245,12864,1
246,10817,1
247,10818,4
248,4675,1
249,12865,1
250,12871,2
251,21064,3
252,4683,1
253,4685,1
254,12877,2
255,6740,4
256,21078,5
257,4694,1
258,8790,1
259,12886,1
260,4698,1
261,21084,1
262,21087,1
263,6752,1
264,6756,1
265,8804,3
266,8806,1
267,6759,2
268,4712,2
