,iteration,objective type,disruptions?,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
0,0,t&p matrix,False,True,91,1,1098,45,35.49382716049383,23.0,31.11111111111111,81,11,0,0.0
1,0,t&p matrix,False,True,91,2,0,0,2.3157894736842106,9.894736842105264,37.55263157894737,38,5,0,0.0
2,0,t&p matrix,False,True,91,3,0,0,18.96969696969697,19.181818181818183,13.393939393939394,33,6,0,0.0
3,0,t&p matrix,False,True,91,4,4,1,44.94736842105263,20.842105263157894,8.842105263157896,19,3,0,0.0
4,0,t&p matrix,False,True,91,6,0,0,13.641509433962264,21.28301886792453,18.22641509433962,53,8,0,0.0
5,0,t&p matrix,False,True,91,7,0,0,24.36111111111111,20.166666666666668,15.916666666666666,36,6,0,0.0
6,0,t&p matrix,False,True,91,8,0,0,27.79310344827586,9.689655172413794,13.310344827586206,29,5,0,0.0
7,0,t&p matrix,False,True,91,9,0,0,55.38095238095238,12.666666666666666,8.19047619047619,21,5,0,0.0
8,0,t&p matrix,False,True,91,10,0,0,23.098039215686274,16.568627450980394,10.058823529411764,51,8,0,0.0
9,0,t&p matrix,False,True,91,11,0,0,29.264705882352942,27.441176470588236,12.617647058823529,34,8,0,0.0
10,0,t&p matrix,False,True,91,12,0,0,26.568181818181817,15.590909090909092,6.795454545454546,44,7,0,0.0
11,0,t&p matrix,False,True,91,13,0,0,27.033333333333335,18.133333333333333,6.233333333333333,30,5,0,0.0
12,0,t&p matrix,False,True,91,14,0,0,17.91111111111111,25.511111111111113,7.955555555555556,45,7,0,0.0
13,0,t&p matrix,False,True,91,15,0,0,38.38709677419355,25.93548387096774,8.64516129032258,31,6,0,0.0
14,0,t&p matrix,False,True,91,16,0,0,23.763157894736842,14.552631578947368,9.868421052631579,38,6,0,0.0
15,0,t&p matrix,False,True,91,17,0,0,30.51219512195122,14.731707317073171,3.682926829268293,41,7,0,0.0
16,0,t&p matrix,False,True,91,18,0,0,1.8695652173913044,11.282608695652174,6.826086956521739,46,7,0,0.0
17,0,t&p matrix,False,True,91,19,0,0,31.09375,17.0625,2.1875,32,7,0,0.0
18,0,t&p matrix,False,True,91,20,0,0,16.958333333333332,17.1875,6.083333333333333,48,7,0,0.0
19,0,t&p matrix,False,True,91,21,0,0,27.72222222222222,27.555555555555557,9.63888888888889,36,8,0,0.0
20,0,t&p matrix,False,True,91,22,0,0,20.11111111111111,13.866666666666667,7.644444444444445,45,7,0,0.0
21,0,t&p matrix,False,True,91,23,0,0,47.869565217391305,16.695652173913043,7.521739130434782,23,5,0,0.0
22,0,t&p matrix,False,True,91,24,0,0,37.25,12.075,2.65,40,7,0,0.0
23,0,t&p matrix,False,True,91,25,0,0,25.209302325581394,8.790697674418604,8.046511627906977,43,8,0,0.0
24,0,t&p matrix,False,True,91,26,0,0,23.982142857142858,15.214285714285714,6.107142857142857,56,9,0,0.0
25,0,t&p matrix,False,True,91,27,0,0,33.45945945945946,12.621621621621621,3.7027027027027026,37,8,0,0.0
26,0,t&p matrix,False,True,91,28,0,0,35.146341463414636,10.634146341463415,6.048780487804878,41,6,0,0.0
27,0,t&p matrix,False,True,91,29,0,0,36.76470588235294,36.470588235294116,4.823529411764706,17,5,0,0.0
28,0,t&p matrix,False,True,91,30,0,0,35.285714285714285,19.178571428571427,-0.5357142857142857,28,6,0,0.0
29,0,t&p matrix,False,True,91,31,0,0,37.5,8.0,3.1666666666666665,24,5,0,0.0
30,0,t&p matrix,False,True,91,32,0,0,25.5,15.738095238095237,3.6666666666666665,42,7,0,0.0
31,0,t&p matrix,False,True,91,33,0,0,30.795454545454547,11.431818181818182,3.9318181818181817,44,7,0,0.0
32,0,t&p matrix,False,True,91,34,0,0,21.41860465116279,14.86046511627907,-0.4883720930232558,43,6,0,0.0
33,0,t&p matrix,False,True,91,35,0,0,23.057142857142857,7.742857142857143,0.9428571428571428,35,7,0,0.0
34,0,t&p matrix,False,True,91,36,0,0,21.975609756097562,19.926829268292682,5.195121951219512,41,7,0,0.0
35,0,t&p matrix,False,True,91,37,0,0,24.025,11.1,6.0,40,7,0,0.0
36,0,t&p matrix,False,True,91,38,0,0,38.891891891891895,12.513513513513514,2.135135135135135,37,7,0,0.0
37,0,t&p matrix,False,True,91,39,0,0,22.166666666666668,13.88888888888889,5.388888888888889,36,9,0,0.0
38,0,t&p matrix,False,True,91,40,0,0,16.976190476190474,14.333333333333334,2.619047619047619,42,7,0,0.0
39,0,t&p matrix,False,True,91,41,0,0,32.392857142857146,26.142857142857142,5.321428571428571,28,7,0,0.0
40,0,t&p matrix,False,True,91,42,0,0,72.66666666666667,9.666666666666666,0.0,18,5,0,0.0
