,iteration,objective type,disruptions?,perfect_information_bool,days_considered_tardy,week,num_sessions,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
0,0,t&p matrix,True,True,91,1,1,179,10,35.72727272727273,28.09090909090909,43.45454545454545,11,1,0,0.0
1,0,t&p matrix,True,True,91,2,1,199,8,34.1,44.6,31.9,10,1,0,0.0
2,0,t&p matrix,True,True,91,6,1,54,8,25.545454545454547,43.36363636363637,26.181818181818183,11,1,0,0.0
3,0,t&p matrix,True,True,91,7,1,10,3,18.2,36.8,38.0,5,1,0,0.0
4,0,t&p matrix,True,True,91,8,2,395,17,27.6,45.35,36.75,20,2,0,0.0
5,0,t&p matrix,True,True,91,9,1,256,7,51.7,46.2,18.2,10,1,0,0.0
6,0,t&p matrix,True,True,91,10,1,59,9,28.0,31.5,37.3,10,1,0,0.0
7,0,t&p matrix,True,True,91,11,2,32,8,47.2,18.9,28.1,10,2,0,0.0
8,0,t&p matrix,True,True,91,12,1,172,8,9.4,31.3,67.5,10,1,0,0.0
9,0,t&p matrix,True,True,91,15,2,88,10,19.6,19.3,60.9,10,2,0,0.0
10,0,t&p matrix,True,True,91,16,1,240,10,70.6,33.9,10.5,10,1,0,0.0
11,0,t&p matrix,True,True,91,17,1,636,9,27.22222222222222,55.22222222222222,79.22222222222223,9,1,0,0.0
12,0,t&p matrix,True,True,91,18,1,515,8,0.0,21.5,133.875,8,1,0,0.0
13,0,t&p matrix,True,True,91,19,1,364,4,57.75,48.25,76.0,4,1,0,0.0
14,0,t&p matrix,True,True,91,20,2,1194,16,18.0625,40.3125,107.25,16,2,0,0.0
15,0,t&p matrix,True,True,91,21,3,1731,20,43.65,86.95,46.95,20,3,0,0.0
16,0,t&p matrix,True,True,91,22,1,1092,7,0.0,146.42857142857142,100.57142857142857,7,1,0,0.0
17,0,t&p matrix,True,True,91,24,1,872,8,112.375,87.625,0.0,8,1,0,0.0
18,0,t&p matrix,True,True,91,25,1,794,7,121.0,83.42857142857143,0.0,7,1,0,0.0
19,0,t&p matrix,True,True,91,27,2,806,6,82.83333333333333,31.333333333333332,111.16666666666667,6,2,0,0.0
20,0,t&p matrix,True,True,91,28,1,1225,8,94.5,57.875,91.75,8,1,0,0.0
21,0,t&p matrix,True,True,91,29,2,1375,10,22.6,72.7,133.2,10,2,0,0.0
22,0,t&p matrix,True,True,91,31,1,561,3,103.0,103.0,72.0,3,1,0,0.0
23,0,t&p matrix,True,True,91,32,2,2377,13,107.46153846153847,57.30769230769231,109.07692307692308,13,2,0,0.0
24,0,t&p matrix,True,True,91,33,3,3034,18,73.16666666666667,98.33333333333333,88.05555555555556,18,3,0,0.0
25,0,t&p matrix,True,True,91,35,1,1147,6,94.66666666666667,133.66666666666666,53.833333333333336,6,1,0,0.0
26,0,t&p matrix,True,True,91,36,2,2390,12,246.5,20.666666666666668,23.0,12,2,0,0.0
27,0,t&p matrix,True,True,91,37,3,3384,17,115.0,34.23529411764706,140.8235294117647,17,3,0,0.0
28,0,t&p matrix,True,True,91,39,1,1055,5,0.0,126.2,175.8,5,1,0,0.0
29,0,t&p matrix,True,True,91,40,2,2216,10,126.0,28.3,158.3,10,2,0,0.0
30,0,t&p matrix,True,True,91,41,2,1825,7,159.14285714285714,142.28571428571428,50.285714285714285,7,2,0,0.0
31,0,t&p matrix,True,True,91,45,1,1336,5,218.8,65.8,73.6,5,1,0,0.0
32,0,t&p matrix,True,True,91,46,1,1060,4,89.5,0.0,266.5,4,1,0,0.0
33,0,t&p matrix,True,True,91,47,1,1146,4,84.5,95.0,198.0,4,1,0,0.0
34,0,t&p matrix,True,True,91,49,3,3048,10,0.0,204.6,191.2,10,3,0,0.0
35,0,t&p matrix,True,True,91,50,1,1147,4,287.5,90.25,0.0,4,1,0,0.0
36,0,t&p matrix,True,True,91,51,1,589,2,385.5,0.0,0.0,2,1,0,0.0
