,iteration,objective type,disruptions?,perfect_information_bool,days_considered_tardy,week,num_sessions,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,total cancelled overtime,total cancelled inconvenient,total surgeries completed,average utilisation,average overtime,total time operating
0,0,t&p matrix,True,False,91,1,11,13655,510,29.45064935064935,33.385714285714286,36.01298701298701,5,3,70,0.9383450746649317,6.450959083686206,5353.2141348966015
1,0,t&p matrix,True,False,91,2,5,437,24,9.871794871794872,12.820512820512821,34.87179487179487,0,0,39,0.9332190161928924,6.152386510376482,2292.308514795394
2,0,t&p matrix,True,False,91,3,6,48,26,18.24137931034483,28.988505747126435,22.833333333333332,1,1,29,0.8857622236431925,3.214664036564064,2104.5341248180753
3,0,t&p matrix,True,False,91,4,3,32,5,53.458333333333336,32.9375,0.0,1,0,16,0.9019091384874255,21.594423755688315,1525.8760756166942
4,0,t&p matrix,True,False,91,6,8,117,47,17.05909090909091,27.54090909090909,21.05909090909091,2,0,55,0.9463378561592342,2.9835989064021646,3826.301072903057
5,0,t&p matrix,True,False,91,7,6,73,40,39.46875,12.4375,18.59375,2,0,32,0.9528493512638615,9.533396331104521,2594.4807604199527
6,0,t&p matrix,True,False,91,8,5,18,13,6.4148148148148145,31.85925925925926,30.881481481481483,2,0,27,0.9794322160015577,1.124190816652299,2650.0879372874674
7,0,t&p matrix,True,False,91,9,5,21,11,47.31578947368421,23.157894736842106,14.063157894736841,1,1,19,0.8726142127646606,0.0,1859.4768256726638
8,0,t&p matrix,True,False,91,10,8,90,36,26.325581395348838,26.3953488372093,19.976744186046513,1,0,43,0.9664553181206224,5.8776695847656555,3622.1083309592136
9,0,t&p matrix,True,False,91,11,8,56,28,29.85096153846154,23.576923076923077,14.197115384615385,5,0,26,0.9799634826903045,17.77116847103556,2904.9140870588503
10,0,t&p matrix,True,False,91,12,7,56,26,27.470238095238095,22.5625,19.086309523809526,1,0,48,0.9323800490445426,4.6377856468251855,3556.8610849161473
11,0,t&p matrix,True,False,91,13,5,14,10,32.55555555555556,27.037037037037038,13.977777777777778,5,0,27,0.95929270270534,10.213332793983545,2366.548601127799
12,0,t&p matrix,True,False,91,14,7,41,19,35.545112781954884,13.037593984962406,19.1203007518797,4,4,38,0.8661086045136521,4.177452302940147,3052.049890283314
13,0,t&p matrix,True,False,91,15,6,68,14,18.517241379310345,17.385057471264368,17.54022988505747,2,0,29,0.9245624354603446,4.7578243279418375,2197.0171548788358
14,0,t&p matrix,True,False,91,16,6,36,18,30.017543859649123,23.210526315789473,15.649122807017545,0,0,38,0.9354453112951021,3.6198345748823235,2778.1797238041017
15,0,t&p matrix,True,False,91,17,7,23,14,25.961672473867594,24.146341463414632,20.738675958188153,2,0,41,0.8935109586135981,9.020396339854576,2929.1588837863933
16,0,t&p matrix,True,False,91,18,7,68,33,16.777003484320556,22.128919860627178,24.609756097560975,0,1,41,0.9004060930500929,2.7525387263518235,3128.303188846992
17,0,t&p matrix,True,False,91,19,7,46,26,19.548387096774192,28.22119815668203,21.502304147465438,0,1,31,0.8963961701643086,4.300883023686546,2400.1148370584524
18,0,t&p matrix,True,False,91,20,7,26,12,15.842105263157896,34.8984962406015,11.203007518796992,4,1,38,0.9187448378935106,4.0568847149057445,3501.25368024181
19,0,t&p matrix,True,False,91,21,8,53,30,32.596875,13.196875,20.75625,0,1,40,0.8671680907990875,5.847924285537978,2940.5329944788264
20,0,t&p matrix,True,False,91,22,7,91,21,30.073170731707318,16.76306620209059,16.714285714285715,1,2,41,0.9426637055123185,7.728133793114223,3311.1075384704345
21,0,t&p matrix,True,False,91,23,5,16,11,53.03809523809524,21.98095238095238,7.2,2,2,21,0.8099069448690951,2.0393507498297594,1577.9318659624062
22,0,t&p matrix,True,False,91,24,7,117,32,27.65437788018433,29.857142857142858,15.23963133640553,3,2,31,0.8778496132139296,1.5551936182702255,3094.540331022413
23,0,t&p matrix,True,False,91,25,8,163,32,29.671511627906977,21.412790697674417,16.436046511627907,1,3,43,0.8491048624862023,2.0638875288904046,2875.03759062237
24,0,t&p matrix,True,False,91,26,9,294,49,17.236625514403293,26.695473251028808,23.82716049382716,3,1,54,0.9361086487602199,2.6225613982094904,4326.15179679291
25,0,t&p matrix,True,False,91,27,8,114,36,24.678571428571427,25.223214285714285,16.044642857142858,3,1,42,0.9248155188857481,6.3000876578838145,2898.2588432223965
26,0,t&p matrix,True,False,91,28,6,5,3,26.994949494949495,17.91919191919192,27.1010101010101,3,1,33,0.8967831858809493,0.0,2905.5775222542757
27,0,t&p matrix,True,False,91,29,5,36,9,36.53333333333333,22.933333333333334,13.80952380952381,1,1,21,0.9097747741087808,6.3638977949606215,1641.1690811820017
28,0,t&p matrix,True,False,91,30,6,22,13,30.782608695652176,25.26086956521739,24.195652173913043,0,1,23,0.8739766742606077,5.492424686923546,2287.414019171594
29,0,t&p matrix,True,False,91,31,5,63,12,39.1,29.175,13.4625,0,0,16,0.913694088396133,13.713565419087786,1641.9427825238038
30,0,t&p matrix,True,False,91,32,7,80,38,33.314935064935064,24.925324675324674,15.522727272727273,2,3,44,0.888026826068962,66.60905783287153,3812.4132732139487
