i,percentile_column_name,month_start,num_surgeries_completed,average_session_utilisation,total_mins_overtime,num_sessions_that_run_overtime,num_sessions_with_cancelled_surgeries,num_surgeries_cancelled
0,duration_45th_percentile,2015-03-01,50,0.9913607632452662,42.04825222985812,3,5,5
1,duration_45th_percentile,2015-03-01,49,1.0082351765597821,70.45608600019511,3,5,5
2,duration_45th_percentile,2015-03-01,44,0.9861205769610182,87.07117970752688,5,7,7
3,duration_45th_percentile,2015-03-01,45,0.9791717631624237,65.26909620868253,5,6,6
4,duration_45th_percentile,2015-03-01,49,1.0120694949195534,62.54151254862586,5,6,6
5,duration_45th_percentile,2015-03-01,51,1.0051306692023407,111.34701537306273,3,3,3
6,duration_45th_percentile,2015-03-01,48,0.9807757526140396,98.12420125011806,3,4,4
7,duration_45th_percentile,2015-03-01,42,1.0114141997753634,108.35814426142429,2,7,7
8,duration_45th_percentile,2015-03-01,48,0.9873463841410823,53.0908670779678,3,5,5
9,duration_45th_percentile,2015-03-01,53,1.0292411543482218,123.97902140757549,5,3,3
10,duration_45th_percentile,2015-03-01,48,1.0139739682905244,109.81699126085175,5,4,4
11,duration_45th_percentile,2015-03-01,46,0.999339757094515,80.07364213413894,4,5,5
12,duration_45th_percentile,2015-03-01,47,0.9842378311382305,32.261520137992534,3,5,5
13,duration_45th_percentile,2015-03-01,50,0.9975712651831551,46.837049310259204,4,5,5
14,duration_45th_percentile,2015-03-01,52,0.956025756087608,9.496524645887803,1,3,3
15,duration_45th_percentile,2015-03-01,49,1.0123909694240036,59.51728990501897,6,4,4
16,duration_45th_percentile,2015-03-01,47,0.9959911562267336,39.22700982692322,1,6,6
17,duration_45th_percentile,2015-03-01,43,0.9849770696960576,12.208844044499642,2,6,6
18,duration_45th_percentile,2015-03-01,48,1.009638975302923,93.71333213162336,3,5,5
19,duration_45th_percentile,2015-03-01,49,0.9930353979909576,59.75945159782168,2,5,5
20,duration_45th_percentile,2015-03-01,51,0.9955046394889475,24.6706893765421,5,5,5
21,duration_45th_percentile,2015-03-01,48,1.0200321293774037,122.01017933958735,3,6,6
22,duration_45th_percentile,2015-03-01,47,1.0152516899737698,82.18631141219532,4,5,5
23,duration_45th_percentile,2015-03-01,49,0.9711021515346897,38.85230301535728,3,4,4
24,duration_45th_percentile,2015-03-01,47,0.9667957483799728,43.528263829905086,2,4,4
25,duration_45th_percentile,2015-03-01,45,0.9889684557755063,91.28784427095252,5,6,6
26,duration_45th_percentile,2015-03-01,52,1.0170832494059667,77.73808367527931,6,3,3
27,duration_45th_percentile,2015-03-01,54,0.9730902845129157,50.52552648456333,3,3,3
28,duration_45th_percentile,2015-03-01,49,1.0287772346805055,116.83086199030174,5,5,5
29,duration_45th_percentile,2015-03-01,51,0.9942929399166921,119.58870019090114,5,4,4
30,duration_45th_percentile,2015-03-01,47,0.9957277245198132,41.04718749150811,1,7,7
31,duration_45th_percentile,2015-03-01,44,0.9899521226225573,28.819462267561562,3,7,7
