,objective type,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
0,t&p matrix,True,91,1,285,23,40.68,34.0,27.68,25,3,0,0.0
1,t&p matrix,True,91,2,47,7,7.571428571428571,27.785714285714285,44.142857142857146,14,2,0,0.0
2,t&p matrix,True,91,3,0,0,26.7,7.9,36.7,20,2,0,0.0
3,t&p matrix,True,91,4,0,0,45.69230769230769,12.846153846153847,21.692307692307693,13,2,0,0.0
4,t&p matrix,True,91,6,0,0,17.866666666666667,11.866666666666667,19.133333333333333,15,2,0,0.0
5,t&p matrix,True,91,7,0,0,27.076923076923077,7.0,33.23076923076923,13,2,0,0.0
6,t&p matrix,True,91,8,0,0,33.0625,31.75,21.5,16,2,0,0.0
7,t&p matrix,True,91,9,0,0,0.0,88.33333333333333,0.0,3,1,0,0.0
8,t&p matrix,True,91,10,0,0,0.0,6.666666666666667,42.333333333333336,18,2,0,0.0
9,t&p matrix,True,91,11,0,0,31.470588235294116,34.705882352941174,13.176470588235293,17,2,0,0.0
10,t&p matrix,True,91,12,0,0,40.07692307692308,40.23076923076923,6.461538461538462,13,2,0,0.0
11,t&p matrix,True,91,13,0,0,68.88888888888889,10.0,9.777777777777779,9,1,0,0.0
12,t&p matrix,True,91,14,0,0,44.92857142857143,12.428571428571429,7.571428571428571,14,2,0,0.0
13,t&p matrix,True,91,15,0,0,24.076923076923077,27.307692307692307,8.807692307692308,26,3,0,0.0
14,t&p matrix,True,91,16,0,0,12.571428571428571,32.714285714285715,14.428571428571429,14,2,0,0.0
15,t&p matrix,True,91,17,0,0,33.0,32.625,-1.0,8,1,0,0.0
16,t&p matrix,True,91,18,0,0,3.7916666666666665,17.875,6.25,24,3,0,0.0
17,t&p matrix,True,91,19,0,0,10.875,32.375,3.5625,16,2,0,0.0
18,t&p matrix,True,91,20,0,0,27.307692307692307,24.384615384615383,4.6923076923076925,13,2,0,0.0
19,t&p matrix,True,91,21,0,0,31.7,1.3,-3.1,10,1,0,0.0
20,t&p matrix,True,91,22,0,0,21.857142857142858,33.0,-1.6428571428571428,14,2,0,0.0
21,t&p matrix,True,91,23,0,0,32.55555555555556,21.22222222222222,3.2777777777777777,18,3,0,0.0
22,t&p matrix,True,91,24,0,0,42.0,13.333333333333334,-1.3333333333333333,6,1,0,0.0
23,t&p matrix,True,91,25,0,0,89.66666666666667,0.0,0.0,3,1,0,0.0
24,t&p matrix,False,91,1,285,22,52.208333333333336,30.416666666666668,20.25,24,3,1,0.04
25,t&p matrix,False,91,2,52,8,21.785714285714285,33.07142857142857,23.428571428571427,14,2,0,0.0
26,t&p matrix,False,91,3,0,0,29.761904761904763,16.666666666666668,19.428571428571427,21,2,0,0.0
27,t&p matrix,False,91,4,0,0,35.75,35.583333333333336,14.583333333333334,12,2,0,0.0
28,t&p matrix,False,91,6,0,0,23.866666666666667,6.0,27.2,15,2,0,0.0
29,t&p matrix,False,91,7,0,0,13.615384615384615,27.53846153846154,33.61538461538461,13,2,1,0.07142857142857142
30,t&p matrix,False,91,8,6,1,33.86666666666667,47.53333333333333,5.933333333333334,15,2,1,0.0625
31,t&p matrix,False,91,9,0,0,34.8,17.8,18.4,5,1,1,0.16666666666666666
32,t&p matrix,False,91,10,12,2,0.0,24.133333333333333,37.53333333333333,15,2,0,0.0
33,t&p matrix,False,91,11,0,0,15.823529411764707,26.352941176470587,26.941176470588236,17,2,1,0.05555555555555555
34,t&p matrix,False,91,12,0,0,36.416666666666664,22.083333333333332,28.75,12,2,0,0.0
