,objective type,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
0,t&p matrix,TRUE,91,1,1098,45,35.49382716,23,28.82716049,81,11,0,0
1,t&p matrix,TRUE,91,2,0,0,2.368421053,8.131578947,38.36842105,38,5,0,0
2,t&p matrix,TRUE,91,3,0,0,18.41176471,18.32352941,13.32352941,34,6,0,0
3,t&p matrix,TRUE,91,4,4,1,47.44444444,23.11111111,13.94444444,18,3,0,0
4,t&p matrix,TRUE,91,6,0,0,13.12727273,16.87272727,15.56363636,55,8,0,0
5,t&p matrix,TRUE,91,7,0,0,23.91176471,21.20588235,18.41176471,34,6,0,0
6,t&p matrix,TRUE,91,8,0,0,30.72413793,7.275862069,21.93103448,29,5,0,0
7,t&p matrix,TRUE,91,9,0,0,51.0952381,21.19047619,7.571428571,21,5,0,0
8,t&p matrix,TRUE,91,10,0,0,23.03921569,18.23529412,6.725490196,51,8,0,0
9,t&p matrix,TRUE,91,11,0,0,29.37837838,24.16216216,7.378378378,37,8,0,0
10,t&p matrix,TRUE,91,12,0,0,27.20930233,18.76744186,5.023255814,43,7,0,0
11,t&p matrix,TRUE,91,13,0,0,27.03333333,17.9,6.733333333,30,5,0,0
12,t&p matrix,TRUE,91,14,0,0,16.2173913,24.93478261,11.04347826,46,7,0,0
13,t&p matrix,TRUE,91,15,0,0,39.875,22.0625,4.125,32,6,0,0
14,t&p matrix,TRUE,91,16,0,0,23.76315789,11.94736842,7.157894737,38,6,0,0
15,t&p matrix,TRUE,91,17,0,0,34.23076923,17.15384615,4.41025641,39,7,0,0
16,t&p matrix,TRUE,91,18,0,0,22.13333333,17.91111111,5.111111111,45,7,0,0
17,t&p matrix,TRUE,91,19,0,0,2.405405405,13.89189189,4.189189189,37,7,0,0
18,t&p matrix,TRUE,91,20,0,0,17.69565217,19.43478261,6.804347826,46,7,0,0
19,t&p matrix,TRUE,91,21,0,0,26.52631579,22.73684211,7.631578947,38,8,0,0
20,t&p matrix,TRUE,91,22,0,0,20.11111111,16,5.244444444,45,7,0,0
21,t&p matrix,TRUE,91,23,0,0,46.91304348,19.60869565,6.565217391,23,5,0,0
22,t&p matrix,TRUE,91,24,0,0,36.275,12.675,0.075,40,7,0,0
23,t&p matrix,TRUE,91,25,0,0,24.11111111,8.8,7.333333333,45,8,0,0
24,t&p matrix,TRUE,91,26,0,0,25.35849057,16.56603774,9.301886792,53,9,0,0
25,t&p matrix,TRUE,91,27,0,0,30.97368421,16.07894737,2,38,8,0,0
26,t&p matrix,TRUE,91,28,0,0,36.33333333,5.166666667,8.095238095,42,6,0,0
27,t&p matrix,TRUE,91,29,0,0,36.70588235,41.76470588,4.647058824,17,5,0,0
28,t&p matrix,TRUE,91,30,0,0,38.53571429,22.32142857,1.535714286,28,6,0,0
29,t&p matrix,TRUE,91,31,0,0,39.64,10.72,-0.8,25,5,0,0
30,t&p matrix,TRUE,91,32,0,0,22.08888889,13.22222222,1.8,45,7,0,0
31,t&p matrix,TRUE,91,33,0,0,30.08888889,10.6,2.266666667,45,7,0,0
32,t&p matrix,TRUE,91,34,0,0,25.38461538,14.84615385,0.692307692,39,6,0,0
33,t&p matrix,TRUE,91,35,0,0,20.74358974,10.46153846,-3.230769231,39,7,0,0
34,t&p matrix,TRUE,91,36,0,0,21.47619048,21.66666667,2.928571429,42,7,0,0
35,t&p matrix,TRUE,91,37,0,0,24.78947368,1.947368421,7.710526316,38,7,0,0
36,t&p matrix,TRUE,91,38,0,0,40.71794872,8.769230769,0.871794872,39,7,0,0
37,t&p matrix,TRUE,91,39,0,0,16.52631579,14.63157895,-0.184210526,38,9,0,0
38,t&p matrix,TRUE,91,40,0,0,12.92857143,23.33333333,3.071428571,42,7,0,0
