,surgery_id,discruption count
0,8194,2
1,16388,2
2,8196,1
3,24582,4
4,8206,4
5,8207,2
6,16404,2
7,16405,2
8,16416,5
9,8226,2
10,8229,2
11,16421,2
12,16422,3
13,16426,5
14,8235,1
15,16431,2
16,8241,2
17,16434,4
18,8245,2
19,16441,2
20,24637,2
21,16452,3
22,16460,5
23,16476,2
24,16486,2
25,8309,4
26,16504,2
27,16513,2
28,16515,2
29,24712,1
30,24754,2
31,8371,2
32,24758,2
33,8375,2
34,8376,2
35,8377,2
36,8378,2
37,8390,2
38,8397,4
39,8400,4
40,8406,2
41,8407,2
42,8410,5
43,8412,2
44,8185,3
45,8417,5
46,24834,2
47,8513,2
48,8516,1
49,8517,2
50,8521,2
51,8529,2
52,8535,1
53,24921,2
54,8539,2
55,8546,2
56,8553,2
57,24943,2
58,8561,4
59,8563,2
60,24953,2
61,8579,2
62,8581,2
63,8585,3
64,8586,4
65,8601,2
66,8602,2
67,8606,2
68,8608,2
69,8612,3
70,8620,2
71,8662,6
72,8665,2
73,25070,2
74,25074,1
75,8692,6
76,8696,2
77,25088,2
78,8719,2
79,8724,2
80,8736,5
81,8738,2
82,8746,3
83,8776,2
84,8790,3
85,25183,2
86,8804,5
87,25188,2
88,8806,2
89,8812,3
90,8830,2
91,8835,2
92,8847,2
93,8853,7
94,8855,2
95,8856,4
96,8862,2
97,17058,2
98,17059,3
99,8878,2
100,8879,4
101,17072,2
102,8881,3
103,8888,2
104,8890,2
105,8900,2
106,17096,2
107,8905,2
108,8908,5
109,8911,3
110,17106,2
111,8915,3
112,8919,2
113,8921,2
114,17114,2
115,25307,2
116,8924,2
117,17139,2
118,17140,2
119,17141,2
120,17144,4
121,25347,2
122,17164,2
123,8975,2
124,17168,5
125,17172,6
126,8981,2
127,8985,2
128,8986,2
129,17177,2
130,17181,8
131,17182,2
132,8993,3
133,17186,9
134,25382,2
135,25397,2
136,17207,2
137,17212,2
138,17214,2
139,17223,2
140,17225,4
141,9042,4
142,9043,2
143,17241,2
144,17242,2
145,9053,3
146,17252,2
147,17254,2
148,9063,3
149,17257,2
150,9073,3
151,9080,3
152,9084,2
153,25469,2
154,9088,5
155,25473,2
156,9093,2
157,25480,2
158,9099,2
159,25490,2
160,9107,2
161,9109,2
162,9110,4
163,9111,2
164,25494,2
165,9113,2
166,25504,2
167,25512,2
168,9133,3
169,9135,2
170,9137,2
171,9141,7
172,9142,2
173,9147,6
174,9153,2
175,9156,2
176,9160,6
177,9164,2
178,25549,2
179,17399,2
180,17405,2
181,17421,2
182,9245,3
183,17439,2
184,17440,2
185,17442,2
186,9253,3
187,17445,2
188,17451,2
189,17458,2
190,9268,3
191,17479,4
192,17481,4
193,17483,2
194,17484,7
195,9297,6
196,9304,7
197,9325,7
198,17518,3
199,17520,7
200,17527,2
201,17531,2
202,17534,2
203,17540,2
204,17547,3
205,25756,2
206,9374,8
207,9400,2
208,9403,2
209,9430,2
210,9461,2
211,9464,5
212,17658,4
213,9479,2
214,17676,2
215,25884,2
216,25889,2
217,17703,8
218,9514,2
219,9525,2
220,17722,9
221,9544,1
222,9552,2
223,9553,6
224,9555,3
225,25944,1
226,9569,2
227,9570,2
228,9571,2
229,17772,8
230,9586,2
231,9592,2
232,9593,2
233,9597,2
234,9602,2
235,25988,4
236,9605,2
237,9608,2
238,9612,2
239,9616,2
240,1460,1
241,1461,2
242,1490,1
243,1510,1
244,1516,3
245,1525,1
246,1539,1
247,1540,1
248,1541,1
249,1543,1
250,9737,6
251,26125,2
252,1550,2
253,9742,2
254,1561,1
255,17947,2
256,17948,2
257,17949,4
258,17950,2
259,1565,1
260,1574,1
261,1580,1
262,1584,1
263,1585,1
264,9779,2
265,1591,1
266,1597,1
267,9804,5
268,9811,2
269,18005,3
270,18007,2
271,18008,2
272,18010,2
273,9821,3
274,18014,7
275,18018,2
276,9829,2
277,18022,2
278,26214,2
279,9837,2
280,18031,2
281,18032,2
282,9844,2
283,18037,2
284,18038,2
285,26232,2
286,9850,2
287,9855,2
288,9857,2
289,26243,2
290,18052,2
291,18054,2
292,18056,2
293,9867,2
294,1688,1
295,1691,1
296,18091,2
297,1707,1
298,1709,1
299,26289,2
300,1716,1
301,1721,2
302,1725,1
303,9928,2
304,18124,2
305,26320,2
306,9937,3
307,9938,5
308,18130,2
309,1747,1
310,1749,1
311,18134,2
312,1746,1
313,1748,1
314,18138,3
315,9947,2
316,1762,1
317,9955,2
318,9956,2
319,18149,2
320,9957,2
321,9960,3
322,18154,2
323,9964,2
324,9965,2
325,9966,2
326,1773,1
327,1778,1
328,1779,1
329,1781,1
330,1783,1
331,9979,2
332,9981,2
333,1789,1
334,9984,2
335,9985,2
336,9990,3
337,9994,2
338,9996,2
339,10003,2
340,18213,2
341,18214,3
342,26407,2
343,10025,7
344,10026,7
345,10028,8
346,18220,3
347,10033,2
348,10051,2
349,18244,5
350,18243,2
351,18246,2
352,18251,2
353,10062,7
354,18256,3
355,18258,2
356,10070,2
357,10073,6
358,10080,2
359,18275,5
360,18280,2
361,1910,2
362,1913,3
363,10114,6
364,10118,2
365,1930,3
366,1937,4
367,1946,2
368,1949,1
369,10144,6
370,10147,9
371,10154,3
372,1964,1
373,1967,1
374,10160,2
375,1973,3
376,26549,2
377,1974,1
378,18371,5
379,18372,2
380,1989,1
381,1994,1
382,10192,2
383,2001,1
384,18388,2
385,10196,2
386,2009,1
387,18394,2
388,2019,1
389,10212,4
390,18404,2
391,10215,3
392,18408,2
393,10226,2
394,2039,1
395,2040,1
396,2041,1
397,10235,2
398,2043,1
399,2067,1
400,2068,1
401,18453,3
402,2073,1
403,10269,2
404,2078,1
405,18463,5
406,10272,3
407,10273,2
408,2089,2
409,2090,1
410,10293,2
411,10299,2
412,10302,2
413,10308,3
414,10310,3
415,10316,2
416,10317,4
417,10325,6
418,10328,2
419,10333,2
