,iteration,objective type,disruptions?,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
0,0,t&p matrix,True,True,91,1,1098,45,35.49382716049383,23.0,31.11111111111111,81,11,0,0.0
1,0,t&p matrix,True,True,91,2,0,0,2.3684210526315788,10.289473684210526,35.71052631578947,38,5,0,0.0
2,0,t&p matrix,True,True,91,3,0,0,19.5625,21.28125,24.5625,32,6,0,0.0
3,0,t&p matrix,True,True,91,4,4,1,47.333333333333336,18.444444444444443,13.777777777777779,18,3,0,0.0
4,0,t&p matrix,True,True,91,6,0,0,17.846153846153847,24.807692307692307,16.653846153846153,52,8,0,0.0
5,0,t&p matrix,True,True,91,7,0,0,22.5625,29.5,19.0,32,6,0,0.0
6,0,t&p matrix,True,True,91,8,0,0,31.09375,14.625,13.09375,32,5,0,0.0
7,0,t&p matrix,True,True,91,9,0,0,60.34782608695652,13.73913043478261,3.739130434782609,23,5,0,0.0
8,0,t&p matrix,True,True,91,10,0,0,34.98,14.86,16.3,50,8,0,0.0
9,0,t&p matrix,True,True,91,11,0,0,35.53333333333333,29.466666666666665,1.9666666666666666,30,8,0,0.0
10,0,t&p matrix,True,True,91,12,0,0,18.755102040816325,35.83673469387755,8.673469387755102,49,7,0,0.0
11,0,t&p matrix,True,True,91,13,0,0,25.1,19.833333333333332,14.033333333333333,30,5,0,0.0
12,0,t&p matrix,True,True,91,14,0,0,29.181818181818183,14.931818181818182,12.431818181818182,44,7,0,0.0
13,0,t&p matrix,True,True,91,15,0,0,22.90625,24.8125,4.625,32,6,0,0.0
14,0,t&p matrix,True,True,91,16,0,0,19.914285714285715,13.885714285714286,18.457142857142856,35,6,0,0.0
15,0,t&p matrix,True,True,91,17,0,0,26.473684210526315,13.526315789473685,17.5,38,7,0,0.0
16,0,t&p matrix,True,True,91,18,0,0,18.70212765957447,16.4468085106383,11.382978723404255,47,7,0,0.0
17,0,t&p matrix,True,True,91,19,0,0,31.545454545454547,8.848484848484848,6.090909090909091,33,7,0,0.0
18,0,t&p matrix,True,True,91,20,0,0,16.0,20.23404255319149,13.595744680851064,47,7,0,0.0
19,0,t&p matrix,True,True,91,21,0,0,18.833333333333332,19.238095238095237,11.595238095238095,42,8,0,0.0
20,0,t&p matrix,True,True,91,22,0,0,30.2,9.511111111111111,7.911111111111111,45,7,0,0.0
21,0,t&p matrix,True,True,91,23,0,0,27.555555555555557,7.62962962962963,4.666666666666667,27,5,0,0.0
22,0,t&p matrix,True,True,91,24,0,0,21.358974358974358,11.897435897435898,15.564102564102564,39,7,0,0.0
23,0,t&p matrix,True,True,91,25,0,0,12.34,19.3,9.84,50,8,0,0.0
24,0,t&p matrix,True,True,91,26,0,0,21.945454545454545,17.654545454545456,13.254545454545454,55,9,0,0.0
25,0,t&p matrix,True,True,91,27,0,0,20.76923076923077,17.256410256410255,7.512820512820513,39,8,0,0.0
26,0,t&p matrix,True,True,91,28,0,0,21.523809523809526,12.880952380952381,6.595238095238095,42,6,0,0.0
27,0,t&p matrix,True,True,91,29,0,0,4.285714285714286,24.19047619047619,11.476190476190476,21,5,0,0.0
28,0,t&p matrix,True,True,91,30,0,0,33.2,9.48,7.08,25,6,0,0.0
29,0,t&p matrix,True,True,91,31,0,0,18.304347826086957,16.782608695652176,9.565217391304348,23,5,0,0.0
30,0,t&p matrix,True,True,91,32,0,0,17.113636363636363,16.0,10.659090909090908,44,7,0,0.0
31,0,t&p matrix,True,True,91,33,0,0,16.045454545454547,12.75,11.0,44,7,0,0.0
32,0,t&p matrix,True,True,91,34,0,0,14.23076923076923,21.128205128205128,8.538461538461538,39,6,0,0.0
33,0,t&p matrix,True,True,91,35,0,0,18.36111111111111,11.277777777777779,5.611111111111111,36,7,0,0.0
34,0,t&p matrix,True,True,91,36,0,0,14.477272727272727,19.227272727272727,9.613636363636363,44,7,0,0.0
35,0,t&p matrix,True,True,91,37,0,0,30.195121951219512,9.146341463414634,1.3170731707317074,41,7,0,0.0
36,0,t&p matrix,True,True,91,38,0,0,9.628571428571428,18.17142857142857,7.114285714285714,35,7,0,0.0
