i,percentile_column_name,month_start,num_surgeries_completed,average_session_utilisation,total_mins_overtime,total_mins_surgery_time,num_sessions_that_run_overtime,num_sessions_with_cancelled_surgeries,num_surgeries_cancelled
0,duration_40th_percentile,2015-03-01,44,0.9624291466309928,48.222733256431184,3686.2049075215837,3,5,11
1,duration_40th_percentile,2015-03-01,42,0.9498920970460778,0.4618022332298324,3591.0539290674037,1,7,13
2,duration_40th_percentile,2015-03-01,43,0.9342865926374744,0.0,3531.603320169653,0,6,12
3,duration_40th_percentile,2015-03-01,43,0.9008486438171157,0.0,3405.207873628697,0,6,12
4,duration_40th_percentile,2015-03-01,43,0.9415307076065756,29.96318102376881,3588.949255776625,1,4,12
5,duration_40th_percentile,2015-03-01,43,0.9433849202446531,21.779471104718027,3587.7744696295063,1,6,12
6,duration_40th_percentile,2015-03-01,37,0.9573136518712532,0.10491589488742648,3618.750519968225,1,7,18
7,duration_40th_percentile,2015-03-01,38,0.9646634869031824,22.431470816932233,3668.859451310962,2,7,17
8,duration_40th_percentile,2015-03-01,44,0.9284373542908172,0.0,3509.4931992192887,0,6,11
9,duration_40th_percentile,2015-03-01,38,0.9386492213177373,2.9513062905480183,3551.045362871595,1,7,17
10,duration_40th_percentile,2015-03-01,34,0.9426989622585893,79.67460844806385,3643.0766857855315,1,7,21
11,duration_40th_percentile,2015-03-01,43,0.9532262859519204,22.541144333347688,3625.7365052316068,1,7,12
12,duration_40th_percentile,2015-03-01,40,0.9602664571039429,4.113143765143263,3633.9203516180473,2,7,15
13,duration_40th_percentile,2015-03-01,40,0.9500570520158157,0.0,3591.2156566197827,0,7,15
14,duration_40th_percentile,2015-03-01,40,0.943641932376626,0.0,3566.9665043836467,0,7,15
15,duration_40th_percentile,2015-03-01,46,0.9203856298546585,16.776875839134732,3495.8345566897447,1,6,9
16,duration_40th_percentile,2015-03-01,43,0.9492060152471063,0.0,3587.998737634062,0,6,12
17,duration_40th_percentile,2015-03-01,42,0.9448562397459003,0.0,3571.5565862395033,0,7,13
18,duration_40th_percentile,2015-03-01,38,0.9499077544774742,42.58109775344337,3633.232409678296,1,7,17
19,duration_40th_percentile,2015-03-01,43,0.9475869599404295,0.0,3581.878708574823,0,6,12
20,duration_40th_percentile,2015-03-01,38,0.9420529795356829,63.97728192459181,3624.9375445694727,1,7,17
21,duration_40th_percentile,2015-03-01,36,0.9451795828714616,0.0,3572.7788232541247,0,7,19
22,duration_40th_percentile,2015-03-01,38,0.9379331341847141,0.0,3545.387247218219,0,6,17
23,duration_40th_percentile,2015-03-01,40,0.9341047058270523,65.89978664069588,3596.8155746669536,2,6,15
24,duration_40th_percentile,2015-03-01,47,0.9277540889927607,5.7774622482648965,3512.6879186409005,1,6,8
25,duration_40th_percentile,2015-03-01,38,0.9334588966447566,20.618922434481192,3549.093551751661,1,6,17
26,duration_40th_percentile,2015-03-01,40,0.9530369398579863,41.771700325755546,3644.2513329889434,2,6,15
27,duration_40th_percentile,2015-03-01,37,0.9359930534072037,0.0,3538.05374187923,0,7,18
28,duration_40th_percentile,2015-03-01,42,0.936557303481007,0.0,3540.1866071582062,0,7,13
29,duration_40th_percentile,2015-03-01,41,0.9379554228905977,11.898505657002147,3557.370004183461,1,6,14
30,duration_40th_percentile,2015-03-01,38,0.9128874434249135,0.0,3450.714536146173,0,6,17
31,duration_40th_percentile,2015-03-01,42,0.9242140241887825,117.37567990201853,3610.9046913356165,1,7,13
32,duration_40th_percentile,2015-03-01,43,0.9250595886913968,0.0,3496.7252452534794,0,5,12
33,duration_40th_percentile,2015-03-01,39,0.9444739592400444,7.510277684184416,3577.6218436115523,1,7,16
34,duration_40th_percentile,2015-03-01,36,0.9264851073461057,16.842399028483896,3518.9561047967627,1,7,19
35,duration_40th_percentile,2015-03-01,41,0.9495959315421915,0.0,3589.4726212294836,0,6,14
36,duration_40th_percentile,2015-03-01,34,0.9339460631365268,0.0,3530.316118656072,0,7,21
37,duration_40th_percentile,2015-03-01,34,0.9336097218394677,70.06765169583184,3599.1124002490196,1,7,21
38,duration_40th_percentile,2015-03-01,36,0.9358808269923345,0.0,3537.629526031025,0,7,19
39,duration_40th_percentile,2015-03-01,34,0.9375158687446498,58.813169641730155,3602.6231534965063,1,7,21
40,duration_40th_percentile,2015-03-01,33,0.945137732539379,0.0,3572.6206289988527,0,7,22
41,duration_40th_percentile,2015-03-01,38,0.9416526802358934,17.511007199698838,3576.958138491376,1,7,17
42,duration_40th_percentile,2015-03-01,41,0.9461062389586931,0.0,3576.28158326386,0,7,14
43,duration_40th_percentile,2015-03-01,41,0.9242055782423254,0.0,3493.4970857559892,0,7,14
44,duration_40th_percentile,2015-03-01,39,0.9344413689279347,0.0,3532.188374547593,0,7,16
45,duration_40th_percentile,2015-03-01,40,0.9529038217914932,67.85331574694374,3669.8297621187885,3,7,15
46,duration_40th_percentile,2015-03-01,39,0.9446914197017067,8.104934425836973,3579.0385008982885,1,7,16
47,duration_40th_percentile,2015-03-01,38,0.9024478958476327,0.0,3411.2530463040516,0,7,17
48,duration_40th_percentile,2015-03-01,39,0.9577081706315894,34.92392443564472,3655.0608094230533,2,6,16
49,duration_40th_percentile,2015-03-01,38,0.9334690917919433,0.0,3528.5131669735447,0,7,17
50,duration_40th_percentile,2015-03-01,38,0.9327910358911208,68.41862728244405,3594.3687429508805,1,7,17
51,duration_40th_percentile,2015-03-01,40,0.9259060819935245,0.0,3499.924989935523,0,7,15
52,duration_40th_percentile,2015-03-01,36,0.9480054161012365,0.0,3583.460472862674,0,7,19
53,duration_40th_percentile,2015-03-01,39,0.9569221728634102,7.612710272080562,3624.7785236957707,1,6,16
54,duration_40th_percentile,2015-03-01,42,0.9293237152986541,0.0,3512.8436438289123,0,7,13
55,duration_40th_percentile,2015-03-01,39,0.9422397605060542,0.0,3561.666294712885,0,7,16
56,duration_40th_percentile,2015-03-01,43,0.9301991144402292,0.0,3516.1526525840673,0,6,12
57,duration_40th_percentile,2015-03-01,44,0.9387854470241086,146.5235607224855,3695.1325504736155,1,5,11
58,duration_40th_percentile,2015-03-01,44,0.9506179275357756,0.0,3593.3357660852316,0,7,11
59,duration_40th_percentile,2015-03-01,43,0.929366198025208,0.07754566579751554,3513.081774201084,1,6,12
60,duration_40th_percentile,2015-03-01,44,0.9378155643466426,0.0,3544.9428332303087,0,6,11
61,duration_40th_percentile,2015-03-01,37,0.9360975206890861,9.769742731895576,3548.218370936642,2,7,18
62,duration_40th_percentile,2015-03-01,43,0.9304198081293704,0.0,3516.98687472902,0,6,12
63,duration_40th_percentile,2015-03-01,38,0.9288818713035206,0.0,3511.173473527308,0,7,17
64,duration_40th_percentile,2015-03-01,41,0.9181464173672652,0.0,3470.5934576482623,0,6,14
65,duration_40th_percentile,2015-03-01,40,0.9280662214996463,0.0,3508.090317268663,0,7,15
66,duration_40th_percentile,2015-03-01,40,0.9216162158010677,0.0,3483.709295728035,0,7,15
67,duration_40th_percentile,2015-03-01,36,0.9279749358689403,24.400894802421817,3532.1461523870157,1,7,19
68,duration_40th_percentile,2015-03-01,43,0.9231226528491575,0.0,3489.403627769815,0,6,12
69,duration_40th_percentile,2015-03-01,39,0.9387014468339129,0.0,3548.2914690321904,0,6,16
70,duration_40th_percentile,2015-03-01,40,0.9233679077655143,0.0,3490.3306913536435,0,6,15
71,duration_40th_percentile,2015-03-01,38,0.9338159381029513,0.0,3529.824246029156,0,7,17
72,duration_40th_percentile,2015-03-01,43,0.9213310567854023,0.0,3482.6313946488203,0,6,12
73,duration_40th_percentile,2015-03-01,38,0.9424739855505541,108.47577754128736,3671.027442922382,1,7,17
74,duration_40th_percentile,2015-03-01,40,0.9452977887016603,0.0,3573.225641292275,0,7,15
75,duration_40th_percentile,2015-03-01,39,0.9341567046792344,0.0,3531.112343687506,0,6,16
76,duration_40th_percentile,2015-03-01,45,0.9289338265006675,0.0,3511.369864172523,0,7,10
77,duration_40th_percentile,2015-03-01,40,0.9438931022191603,59.34018755453246,3627.256113942958,2,7,15
78,duration_40th_percentile,2015-03-01,40,0.9626743188750507,49.446000425070224,3688.3549257727614,3,7,15
79,duration_40th_percentile,2015-03-01,37,0.9320631206393236,0.0,3523.198596016643,0,6,18
80,duration_40th_percentile,2015-03-01,39,0.9422634194783948,0.0,3561.7557256283317,0,7,16
81,duration_40th_percentile,2015-03-01,45,0.9533557633429276,6.17912932250249,3609.8639147587687,1,6,10
82,duration_40th_percentile,2015-03-01,42,0.9383129642354419,2.170650299995714,3548.9936551099668,1,6,13
83,duration_40th_percentile,2015-03-01,42,0.9402743603019977,0.0,3554.237081941551,0,7,13
84,duration_40th_percentile,2015-03-01,41,0.9430787374581423,5.019823510590982,3569.857451102368,1,6,14
85,duration_40th_percentile,2015-03-01,42,0.9492046446724888,9.792506346234859,3597.786063208242,1,6,13
86,duration_40th_percentile,2015-03-01,42,0.9438044136025995,0.0,3567.5806834178256,0,6,13
87,duration_40th_percentile,2015-03-01,37,0.931222916080799,4.980321741517059,3525.0029445269374,1,6,18
88,duration_40th_percentile,2015-03-01,44,0.9258575412932063,0.0,3499.741506088319,0,7,11
89,duration_40th_percentile,2015-03-01,42,0.9599338246316856,4.775839174595717,3633.325696282367,2,6,13
90,duration_40th_percentile,2015-03-01,41,0.9268583525291666,90.79880345366462,3594.3233760139146,1,7,14
91,duration_40th_percentile,2015-03-01,44,0.9461066676193305,49.625439451983766,3625.9086430530524,2,6,11
92,duration_40th_percentile,2015-03-01,41,0.9291754088393203,0.0,3512.28304541263,0,7,14
93,duration_40th_percentile,2015-03-01,34,0.9341530950543433,0.0,3531.098699305417,0,7,21
94,duration_40th_percentile,2015-03-01,42,0.9397633478494578,0.0,3552.3054548709506,0,7,13
95,duration_40th_percentile,2015-03-01,47,0.9453456547926701,0.0,3573.406575116292,0,6,8
96,duration_40th_percentile,2015-03-01,34,0.945391309868385,13.239422668422435,3586.818573970918,2,6,21
97,duration_40th_percentile,2015-03-01,39,0.9218067805121505,0.0,3484.4296303359297,0,6,16
98,duration_40th_percentile,2015-03-01,35,0.9545024987599654,0.0,3608.0194453126687,0,7,20
99,duration_40th_percentile,2015-03-01,42,0.9593805922970586,0.565623398772459,3627.024262281654,1,6,13
0,duration_45th_percentile,2015-03-01,39,0.9029590499302012,0.0,3413.18520873616,0,4,10
1,duration_45th_percentile,2015-03-01,41,0.9388942133375645,0.0,3549.020126415994,0,6,8
2,duration_45th_percentile,2015-03-01,32,0.9470885474463185,4.254484282030944,3584.249193629115,1,7,17
3,duration_45th_percentile,2015-03-01,41,0.9287326791487859,0.0,3510.609527182411,0,5,8
4,duration_45th_percentile,2015-03-01,39,0.9370103582893673,0.0,3541.8991543338084,0,5,10
5,duration_45th_percentile,2015-03-01,39,0.9386212416003165,0.0,3547.988293249197,0,6,10
6,duration_45th_percentile,2015-03-01,31,0.8939476375634497,0.0,3379.12206998984,0,6,18
7,duration_45th_percentile,2015-03-01,31,0.947824996916231,41.747084334472106,3624.525572677825,1,6,18
8,duration_45th_percentile,2015-03-01,37,0.9127194715597023,0.0,3450.079602495675,0,6,12
9,duration_45th_percentile,2015-03-01,33,0.9629534861685062,46.6211118048891,3686.5852895218427,1,7,16
10,duration_45th_percentile,2015-03-01,29,0.9418822275787838,79.67460844806385,3639.989428695866,1,6,20
11,duration_45th_percentile,2015-03-01,37,0.935952090723338,0.0,3537.898902934218,0,7,12
12,duration_45th_percentile,2015-03-01,33,0.9514816819900707,5.945368438149217,3602.5461263606157,2,7,16
13,duration_45th_percentile,2015-03-01,36,0.917965053040135,0.0,3469.9079004917103,0,7,13
14,duration_45th_percentile,2015-03-01,34,0.9263447754208691,0.0,3501.583251090886,0,7,15
15,duration_45th_percentile,2015-03-01,38,0.9456415162676259,0.0,3574.5249314916255,0,7,11
16,duration_45th_percentile,2015-03-01,37,0.9496048443970303,17.084585908914732,3606.5908977296895,1,6,12
17,duration_45th_percentile,2015-03-01,40,0.9073716984942338,0.0,3429.8650203082047,0,4,9
18,duration_45th_percentile,2015-03-01,38,0.9532929462068452,0.7685403720971635,3604.2158770339724,1,6,11
19,duration_45th_percentile,2015-03-01,37,0.9297352864667913,0.0,3514.399382844471,0,7,12
20,duration_45th_percentile,2015-03-01,28,0.9362943010918896,67.53682306806763,3606.7292811954103,1,7,21
21,duration_45th_percentile,2015-03-01,30,0.9348555660248854,51.53429481379851,3585.2883343878657,1,7,19
22,duration_45th_percentile,2015-03-01,35,0.9514958444955895,0.0,3596.6542921933283,0,6,14
23,duration_45th_percentile,2015-03-01,38,0.928116343382764,0.0,3508.279777986848,0,4,11
24,duration_45th_percentile,2015-03-01,38,0.9256212707305751,12.571382710703006,3511.419786072276,1,4,11
25,duration_45th_percentile,2015-03-01,33,0.9522216945821509,3.4344763850168647,3602.8324819055474,1,7,16
26,duration_45th_percentile,2015-03-01,41,0.9179114591832384,15.820722436480878,3485.526038149122,1,3,8
27,duration_45th_percentile,2015-03-01,35,0.9334888536891573,0.0,3528.587866945015,0,6,14
28,duration_45th_percentile,2015-03-01,38,0.938389845950632,0.0,3547.1136176933887,0,4,11
29,duration_45th_percentile,2015-03-01,36,0.9549065743040082,169.96304378892614,3779.5098946580774,1,7,13
30,duration_45th_percentile,2015-03-01,30,0.9327523869539209,0.0,3525.804022685821,0,6,19
31,duration_45th_percentile,2015-03-01,29,0.9539360852453965,304.32827172141356,3910.2066739490124,3,6,20
32,duration_45th_percentile,2015-03-01,45,0.9403540082080465,6.5815343053799324,3561.1196853317956,2,3,4
33,duration_45th_percentile,2015-03-01,40,0.9262858411549334,0.0,3501.3604795656493,0,6,9
34,duration_45th_percentile,2015-03-01,30,0.9475980971084457,13.9451837340755,3595.865990804,1,6,19
35,duration_45th_percentile,2015-03-01,34,0.9504003448612394,12.32309527500695,3604.8363988504916,1,7,15
36,duration_45th_percentile,2015-03-01,34,0.9522416847497563,6.452398549810823,3605.9259669038897,2,6,15
37,duration_45th_percentile,2015-03-01,34,0.9206570008354762,70.06765169583184,3550.151114853932,1,6,15
38,duration_45th_percentile,2015-03-01,33,0.9325684434294185,74.39594322410517,3599.5046593873067,1,6,16
39,duration_45th_percentile,2015-03-01,33,0.9397769382478511,87.05365149463069,3639.4104780715084,1,6,16
40,duration_45th_percentile,2015-03-01,36,0.8996789618272155,0.0,3400.7864757068746,0,4,13
41,duration_45th_percentile,2015-03-01,35,0.9616487456853385,88.32250347124045,3723.35476216182,1,7,14
42,duration_45th_percentile,2015-03-01,32,0.9494478088886006,75.2350758895426,3664.1477934884533,2,7,17
43,duration_45th_percentile,2015-03-01,33,0.9098872107885072,0.0,3439.373656780557,0,6,16
44,duration_45th_percentile,2015-03-01,32,0.9332048083475664,0.0,3527.5141755538,0,7,17
45,duration_45th_percentile,2015-03-01,41,0.929446317510612,0.0,3513.307080190114,0,4,8
46,duration_45th_percentile,2015-03-01,35,0.9288958312465795,45.11648493294069,3556.342727045011,2,7,14
47,duration_45th_percentile,2015-03-01,33,0.9435166483384991,58.82181420887105,3625.314744928398,1,7,16
48,duration_45th_percentile,2015-03-01,38,0.9507683662893881,0.7406751231479802,3594.6450996970348,1,6,11
49,duration_45th_percentile,2015-03-01,41,0.9136675681566897,0.0,3453.6634076322866,0,5,8
50,duration_45th_percentile,2015-03-01,39,0.9168151338257299,3.0393573805616825,3468.6005632418205,1,6,10
51,duration_45th_percentile,2015-03-01,37,0.9412345180070046,5.223075767545424,3563.089553834022,1,7,12
52,duration_45th_percentile,2015-03-01,36,0.9510903842216247,0.012473268326857578,3595.134125626069,1,6,13
53,duration_45th_percentile,2015-03-01,32,0.9160401975549641,0.0,3462.631946757765,0,7,17
54,duration_45th_percentile,2015-03-01,39,0.9016120270498044,0.0,3408.09346224826,0,6,10
55,duration_45th_percentile,2015-03-01,36,0.9355798338753888,0.0,3536.49177204897,0,7,13
56,duration_45th_percentile,2015-03-01,37,0.9059096154133833,0.0,3424.338346262589,0,6,12
57,duration_45th_percentile,2015-03-01,35,0.9266688529834343,9.853839546068343,3512.66210382345,1,6,14
58,duration_45th_percentile,2015-03-01,37,0.9270206582665423,20.167832714522092,3524.3059209620524,1,5,12
59,duration_45th_percentile,2015-03-01,43,0.8904519414128946,4.917341785711528,3370.825680326453,1,3,6
