i,percentile_column_name,month_start,num_surgeries_completed,average_session_utilisation,total_mins_overtime,num_sessions_that_run_overtime,num_sessions_with_cancelled_surgeries,num_surgeries_cancelled
0,duration_45th_percentile,2015-11-01,51,0.9915828924259664,43.50210593436191,3,8,8
1,duration_45th_percentile,2015-11-01,54,1.0197642379611023,104.80495409952164,7,8,8
2,duration_45th_percentile,2015-11-01,55,0.9902683001096481,19.065678504652055,4,6,6
3,duration_45th_percentile,2015-11-01,64,1.0082635180784743,121.54557501502381,6,3,3
4,duration_45th_percentile,2015-11-01,63,1.0045937845365822,78.55088949551259,3,3,3
5,duration_45th_percentile,2015-11-01,56,1.0154410859628191,134.01285883715707,5,6,6
6,duration_45th_percentile,2015-11-01,59,0.9502673450825767,0.0,0,5,5
7,duration_45th_percentile,2015-11-01,58,1.0245356696367205,151.24443069756444,6,7,7
8,duration_45th_percentile,2015-11-01,57,1.007115357887734,101.6624374396497,5,7,7
9,duration_45th_percentile,2015-11-01,58,0.9897814098635014,58.86228529708444,4,6,6
10,duration_45th_percentile,2015-11-01,53,1.0000462850022211,59.83223134860543,3,7,7
11,duration_45th_percentile,2015-11-01,58,0.9719651939606233,37.01438554530864,3,4,4
12,duration_45th_percentile,2015-11-01,58,0.995482946765365,27.233260267053538,2,7,7
13,duration_45th_percentile,2015-11-01,55,0.9945156380157154,61.369717314727154,4,6,6
14,duration_45th_percentile,2015-11-01,58,1.0097472507047693,81.23018219098174,4,8,8
15,duration_45th_percentile,2015-11-01,59,1.0017602656186626,56.40496275006535,4,5,5
16,duration_45th_percentile,2015-11-01,57,0.997953490948623,44.29741355480212,4,6,6
17,duration_45th_percentile,2015-11-01,61,0.9763798901398725,42.6626912429366,2,5,5
18,duration_45th_percentile,2015-11-01,57,0.9959540954321668,29.371517582872684,3,5,5
19,duration_45th_percentile,2015-11-01,59,1.0050919649320598,92.3361524987364,4,7,7
20,duration_45th_percentile,2015-11-01,61,1.0113105695672227,64.78848404354221,6,5,5
21,duration_45th_percentile,2015-11-01,61,0.9914918803955478,54.56474483750901,4,4,4
22,duration_45th_percentile,2015-11-01,58,0.996426737713112,77.26417513787044,3,5,5
23,duration_45th_percentile,2015-11-01,51,0.9971430977073652,40.518510750064365,3,7,7
24,duration_45th_percentile,2015-11-01,56,1.0098531875942496,62.688008004153744,5,7,7
25,duration_45th_percentile,2015-11-01,58,0.9877690264488563,60.049774570040995,3,5,5
26,duration_45th_percentile,2015-11-01,61,0.9537728528097085,33.12749430391955,2,5,5
27,duration_45th_percentile,2015-11-01,55,1.019834088560339,115.81848876487743,4,5,5
28,duration_45th_percentile,2015-11-01,62,0.9720590876437537,36.29042809348948,2,3,3
29,duration_45th_percentile,2015-11-01,58,1.007329824345978,55.421071776498366,4,5,5
30,duration_45th_percentile,2015-11-01,63,0.9924225340664232,79.26219272565129,6,3,3
31,duration_45th_percentile,2015-11-01,57,1.001450891729423,54.84294781218273,2,8,8
32,duration_45th_percentile,2015-11-01,62,0.987726667232535,35.41626844173152,2,4,4
33,duration_45th_percentile,2015-11-01,60,0.9892090481542987,51.97005837367681,3,4,4
34,duration_45th_percentile,2015-11-01,65,1.0276872067586205,132.45505762269624,7,2,2
35,duration_45th_percentile,2015-11-01,48,0.9921478624968333,49.24885541492483,3,7,7
36,duration_45th_percentile,2015-11-01,58,0.9984755810505639,66.70408008642494,5,5,5
37,duration_45th_percentile,2015-11-01,59,1.0054305580967235,59.45888391012204,5,5,5
38,duration_45th_percentile,2015-11-01,60,0.9899260683951632,54.636353189955,4,5,5
39,duration_45th_percentile,2015-11-01,57,1.0098826422120337,111.59547556875293,6,5,5
40,duration_45th_percentile,2015-11-01,53,0.9871323164995457,70.98454707845292,4,7,7
41,duration_45th_percentile,2015-11-01,56,1.01435717980882,84.47745787536257,6,6,6
42,duration_45th_percentile,2015-11-01,59,1.0034791808943306,60.249362553998594,4,7,7
43,duration_45th_percentile,2015-11-01,57,1.0229757118286718,104.34558011755371,7,5,5
44,duration_45th_percentile,2015-11-01,63,0.9966235316183224,37.46699809473046,3,3,3
45,duration_45th_percentile,2015-11-01,59,1.0014122467640127,50.77121004734806,3,5,5
46,duration_45th_percentile,2015-11-01,54,0.9963987958437965,55.25338568242739,3,7,7
47,duration_45th_percentile,2015-11-01,62,1.0072569908555038,111.12175881355267,5,5,5
48,duration_45th_percentile,2015-11-01,57,1.01481057324801,90.52077964756438,5,7,7
49,duration_45th_percentile,2015-11-01,58,0.9667816920932462,42.32206949463921,2,6,6
50,duration_45th_percentile,2015-11-01,62,1.0123767653464923,100.19034738133848,4,4,4
51,duration_45th_percentile,2015-11-01,56,1.0099793941267072,95.05918731835413,5,7,7
