i,percentile_column_name,month_start,num_surgeries_completed,average_session_utilisation,total_mins_overtime,num_sessions_that_run_overtime,num_sessions_with_cancelled_surgeries,num_surgeries_cancelled
0,duration_40th_percentile,2015-03-01,49,0.9758038028897592,47.003945132198965,3,4,4
1,duration_40th_percentile,2015-03-01,55,0.9967349261649409,175.69734040543472,6,4,4
2,duration_40th_percentile,2015-03-01,53,0.995072971598498,119.29772295468877,5,6,6
3,duration_40th_percentile,2015-03-01,53,0.9900963983208932,66.16439073705897,4,5,5
4,duration_40th_percentile,2015-03-01,52,0.9777560956696504,36.286291199039056,4,5,5
5,duration_40th_percentile,2015-03-01,51,0.9822176151609988,19.988888363042747,2,5,5
6,duration_40th_percentile,2015-03-01,54,0.9936249428426782,141.94868834570912,4,5,5
7,duration_40th_percentile,2015-03-01,52,0.991889642674997,28.34330244582361,3,4,4
8,duration_40th_percentile,2015-03-01,46,0.9749943849315502,90.92058516814075,3,6,6
9,duration_40th_percentile,2015-03-01,46,0.9854570092199414,49.524960112392705,3,7,7
10,duration_40th_percentile,2015-03-01,46,0.9935962019267001,46.36138370468041,4,6,6
11,duration_40th_percentile,2015-03-01,52,0.9988282091290855,88.29654304118435,6,4,4
12,duration_40th_percentile,2015-03-01,47,0.9867744841442201,52.996090318418396,4,7,7
13,duration_40th_percentile,2015-03-01,52,0.9854060692584011,46.666725822029434,4,5,5
14,duration_40th_percentile,2015-03-01,56,0.9733516704273273,62.23158266559847,4,4,4
15,duration_40th_percentile,2015-03-01,49,0.9875260426935679,25.499357301039822,3,7,7
16,duration_40th_percentile,2015-03-01,55,0.9964610195814688,111.62516339984768,5,5,5
17,duration_40th_percentile,2015-03-01,54,0.9975627736444103,94.40574372745073,6,6,6
18,duration_40th_percentile,2015-03-01,52,0.9862663443524246,104.62873503066055,4,5,5
19,duration_40th_percentile,2015-03-01,51,0.9931692344597906,97.65807006880323,5,6,6
20,duration_40th_percentile,2015-03-01,50,0.9869649792520445,35.899512343898664,3,6,6
21,duration_40th_percentile,2015-03-01,51,0.9912987264219744,61.73577051422694,4,7,7
22,duration_40th_percentile,2015-03-01,51,0.9888795046571366,51.88722095141918,4,6,6
23,duration_40th_percentile,2015-03-01,49,0.984409160307309,32.089140362043054,2,6,6
24,duration_40th_percentile,2015-03-01,51,0.9841877984357392,54.215415101770645,2,5,5
25,duration_40th_percentile,2015-03-01,48,0.9860006830880472,46.25980434352425,3,6,6
26,duration_40th_percentile,2015-03-01,47,0.9745080052911806,51.45105184661202,3,5,5
27,duration_40th_percentile,2015-03-01,48,0.9872878544297196,62.790251665128835,4,7,7
28,duration_40th_percentile,2015-03-01,50,0.9936670874208315,97.85883828696922,5,6,6
29,duration_40th_percentile,2015-03-01,52,0.9910099054855274,104.45769360810664,5,5,5
30,duration_40th_percentile,2015-03-01,57,0.9884291983633468,100.4653048402198,3,2,2
